"28-05-2020","State Sector","GSEG","Gujarat","GSPC","1","78","RSD","11-10-2018","22:26","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","DGBP","Gujarat","GSECL","3","375","RSD","04-07-2019","21:33","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Wanakbori","Gujarat","GSECL","3","210","RSD","04-07-2019","02:45","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Wanakbori","Gujarat","GSECL","6","210","RSD","05-07-2019","08:24","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Ukai","Gujarat","GSECL","6","500","RSD","05-07-2019","09:33","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","UTRAN STG II","Gujarat","GSECL","1","375","RSD.","09-07-2019","00:16","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","GSEG STAGE II","Gujarat","GSPC","1","351","RSD","25-06-2019","03:14","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Gandhinagar","Gujarat","GSECL","3","210","RSD.","27-06-2019","15:31","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Gandhinagar","Gujarat","GSECL","4","210","RSD.","27-06-2019","13:49","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Wanakbori","Gujarat","GSECL","4","210","RSD","04-07-2019","10:50","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Wanakbori","Gujarat","GSECL","2","210","RSD","04-07-2019","12:10","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Wanakbori","Gujarat","GSECL","1","210","RSD.","04-07-2019","14:55","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Singaji","Madhya Pradesh","MPPGCL","1","600","COH","05-06-2019","23:49","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","JP Bina","Madhya Pradesh","MPPGCL","2","250","Boiler inspection","29-06-2019","23:28","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Satpura IV","Madhya Pradesh","MPPGCL","11","250","COH","06-07-2019","00:01","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","RATTAN INDIA POWER(A)","Maharashtra","Rattan India Power Ltd","3","270","Zero schedule","01-07-2019","00:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","PARLI","Maharashtra","MAHAGENCO","4","210","ECONOMIC SHUT DOWN SINCE 1ST APRIL 2016","05-07-2015","18:45","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","APML Tiroda","Maharashtra","Adani Transmission India Limited","4","660","tripped on MS drain bonnet leakage; converted to AOH for 35days w.e.f. 11:55hrs/20-06-2019","19-06-2019","16:09","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","RATTAN INDIA POWER(A)","Maharashtra","Rattan India Power Ltd","5","270","No Schedule.","29-06-2019","03:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","RATTAN INDIA POWER(A)","Maharashtra","Rattan India Power Ltd","1","270","RSD","30-06-2019","16:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","PIONEER(262+127)","Maharashtra","MAHAGENCO","1","388","RSD","07-02-2017","17:45","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","RATTAN INDIA POWER(A)","Maharashtra","Rattan India Power Ltd","4","270","NO schedule","01-07-2019","17:45","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","WPCL","Maharashtra","MAHAGENCO","2","135","RSD","27-11-2018","00:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","PARLI","Maharashtra","MAHAGENCO","5","210","ECONOMIC SHUT DOWN SINCE 1ST APRIL 2016","06-07-2015","14:55","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","PARLI","Maharashtra","MAHAGENCO","8","250","No schedule","04-06-2019","00:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Bhusawal","Maharashtra","MAHAGENCO","3","210","RSD","28-06-2019","18:35","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Dhariwal STU","Maharashtra","Dhariwal Infrastructure Ltd","1","300","No schedule","01-07-2019","00:01","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Nasik","Maharashtra","MAHAGENCO","5","210","Zero Schedule.","04-07-2019","15:27","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Nasik","Maharashtra","MAHAGENCO","3","210","RSD","08-07-2019","19:33","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","PARLI","Maharashtra","MAHAGENCO","6","250","RSD","12-12-2018","00:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","Trombay","Maharashtra","MAHAGENCO","6","500","Unit 6 is kept under economic shutdown since 4th May.","04-05-2016","00:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","URAN B0","Maharashtra","MAHAGENCO","1","120","Transformer shifting work","08-09-2018","12:19","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","WPCL","Maharashtra","MAHAGENCO","3","135","AOH","01-11-2018","00:28","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","WPCL","Maharashtra","MAHAGENCO","4","135","RSD","15-12-2018","00:00","NULL","2020/05/29 17:17:25"
"28-05-2020","State Sector","RATTAN INDIA POWER(A)","Maharashtra","Rattan India Power Ltd","2","270","No Schedule","29-06-2019","00:00","NULL","2020/05/29 17:17:25"
